,Passenger Id,Survived
176,1069,1
177,1070,1
178,1071,1
179,1072,1
180,1073,1
181,1074,1
182,1075,1
183,1076,1
184,1077,1
185,1078,1
186,1079,1
187,1080,1
188,1081,1
189,1082,1
190,1083,1
191,1084,1
192,1085,1
193,1086,1
194,1087,1
195,1088,1
196,1089,1
197,1090,1
198,1091,1
199,1092,1
200,1093,1
201,1094,1
202,1095,1
203,1096,1
204,1097,1
205,1098,1
206,1099,1
207,1100,1
208,1101,1
209,1102,1
210,1103,1
211,1104,1
212,1105,1
213,1106,1
214,1107,1
215,1108,1
216,1109,1
217,1110,1
218,1111,1
219,1112,1
220,1113,1
221,1114,1
222,1115,1
223,1116,1
224,1117,1
225,1118,1
226,1119,1
227,1120,1
228,1121,1
229,1122,1
230,1123,1
231,1124,1
232,1125,1
233,1126,1
234,1127,1
235,1128,1
236,1129,1
237,1130,1
238,1131,1
239,1132,1
240,1133,1
241,1134,1
242,1135,1
243,1136,1
244,1137,1
245,1138,1
246,1139,1
247,1140,1
248,1141,1
249,1142,1
250,1143,1
251,1144,1
252,1145,1
253,1146,1
254,1147,1
255,1148,1
256,1149,1
257,1150,1
258,1151,1
259,1152,1
260,1153,1
261,1154,1
262,1155,1
263,1156,1
264,1157,1
265,1158,1
266,1159,1
267,1160,1
268,1161,1
269,1162,1
270,1163,1
271,1164,1
272,1165,1
273,1166,1
274,1167,1
275,1168,1
276,1169,1
277,1170,1
278,1171,1
279,1172,1
280,1173,1
281,1174,1
282,1175,1
283,1176,1
284,1177,1
285,1178,1
286,1179,1
287,1180,1
288,1181,1
289,1182,1
290,1183,1
291,1184,1
292,1185,1
293,1186,1
294,1187,1
295,1188,1
296,1189,1
297,1190,1
298,1191,1
299,1192,1
300,1193,1
301,1194,1
302,1195,1
303,1196,1
304,1197,1
305,1198,1
306,1199,1
307,1200,1
308,1201,1
309,1202,1
310,1203,1
311,1204,1
312,1205,1
313,1206,1
314,1207,1
315,1208,1
316,1209,1
317,1210,1
318,1211,1
319,1212,1
320,1213,1
321,1214,1
322,1215,1
323,1216,1
324,1217,1
325,1218,1
326,1219,1
327,1220,1
328,1221,1
329,1222,1
330,1223,1
331,1224,1
332,1225,1
333,1226,1
334,1227,1
335,1228,1
336,1229,1
337,1230,1
338,1231,1
339,1232,1
340,1233,1
341,1234,0
342,1235,1
343,1236,1
344,1237,1
345,1238,1
346,1239,1
347,1240,1
348,1241,1
349,1242,1
350,1243,1
351,1244,1
352,1245,1
353,1246,1
354,1247,1
355,1248,1
356,1249,1
357,1250,1
358,1251,1
359,1252,0
360,1253,1
361,1254,1
362,1255,1
363,1256,1
364,1257,1
365,1258,1
366,1259,1
367,1260,1
368,1261,1
369,1262,1
370,1263,1
371,1264,1
372,1265,1
373,1266,1
374,1267,1
375,1268,1
376,1269,1
377,1270,1
378,1271,0
379,1272,1
380,1273,1
381,1274,1
382,1275,1
383,1276,1
384,1277,1
385,1278,1
386,1279,1
387,1280,1
388,1281,1
389,1282,1
390,1283,1
391,1284,1
392,1285,1
393,1286,0
394,1287,1
395,1288,1
396,1289,1
397,1290,1
398,1291,1
399,1292,1
400,1293,1
401,1294,1
402,1295,1
403,1296,1
404,1297,1
405,1298,1
406,1299,1
407,1300,1
408,1301,1
409,1302,1
410,1303,1
411,1304,1
412,1305,1
413,1306,1
414,1307,1
415,1308,1
416,1309,1
